,item_code,title,ori_price,dis_price,discount_percent,provider,num,main_category,sub_category,item_ranking
1483,1517688015,[로제타스톤]뉴 로제타스톤 (1번 구매로) 24개 언어 무제한 평생 학습권,699000,269000,61,로제타스톤코리아,11518,e쿠폰/티켓,ALL,100
1484,1517688015,[로제타스톤]뉴 로제타스톤 (1번 구매로) 24개 언어 무제한 평생 학습권,699000,269000,61,로제타스톤코리아,11620,e쿠폰/티켓,온라인컨텐츠,2
1485,1517719492,메이킹유 쿠폰12% 니트원피스/블라우스/가디건,33000,9900,70,메이킹유,207,패션의류,ALL,7
1486,1517719492,메이킹유 쿠폰12% 니트원피스/블라우스/가디건,33000,9900,70,메이킹유,605,패션의류,여성의류,5
1487,1518135650,2020년 햅쌀 대왕님표 여주쌀 상등급 영호진미 20kg (10kg x 2포),83900,79960,4,홈앤쇼핑MALL,4241,식품,쌀/잡곡,41
1488,1518136379,클릭B 메쉬의자/사무용/학생/컴퓨터의자,28900,28900,0,비엠-코리아,6996,가구/침구,ALL,96
1489,1518136379,클릭B 메쉬의자/사무용/학생/컴퓨터의자,28900,28900,0,비엠-코리아,7029,가구/침구,가구,29
1490,1518153176,해원 스매쉬 티탄 밑밥주걱 티타늄 컵 주걱,35000,33250,5,엠피싱,8107,스포츠/자동차,캠핑/낚시,91
1491,1518258369,[코르테즈]코르테즈 베이직 SL (PSV) 904767-102 아동운동화,58500,54410,6,helpers4u,3477,유아동/출산,유아동신발 ,77
1492,1518309571,[싸이닉]싸이닉 파워 옴므 올인원 플루이드 1+1,15000,11570,22,신세계몰,2234,화장품/헤어,남성화장품,34
1493,1519175859,아기 신생아 가제 가재 거즈 손수건 5장 출산준비물,2450,2450,0,달래네.,3266,유아동/출산,신생아의류/잡화,66
1494,1520028614,이유식 유아식 책 모음전 레시피 한 그릇 뚝딱 아기가 잘 먹는 이유식은 따로있다,16920,16920,0,제이북스,10338,도서/음반,가정/생활/취미/레저,22
1495,1520098023,[칼하트]레거시 스탠다드 백팩(Black)/ 칼하트,71000,67450,5,롯데ON,1044,신발/잡화,브랜드 신발/가방,44
1496,1520105387,[르헤브]먼지없는 토퍼형 매트리스 커버/매트커버/침대커버,99000,29900,69,쇼핑스토리M,6994,가구/침구,ALL,94
1497,1520105387,[르헤브]먼지없는 토퍼형 매트리스 커버/매트커버/침대커버,99000,29900,69,쇼핑스토리M,7134,가구/침구,침구,34
1498,1520159142,[렉사]렉사공식판매원 스마트폰 블랙박스 microSD 633X 256G,42000,42000,0,렉사 공식수입원,8844,컴퓨터/전자,저장장치 ,28
1499,1520170425,흙대파 (500G/봉),5990,5720,4,롯데슈퍼프레시,5237,식품,채소,37
1500,1520264267,[프로스펙스]노블레스 치닝디핑 턱걸이 가정용철봉 홈짐 홈트 헬스,115900,109110,5,(우성)레포츠,7693,스포츠/자동차,휘트니스/수영,77
1501,1520404452,자전거 유아안장 / 어린이 아동 유아 베이비 자전거 안장 부품 시트/ 마이독스,17500,14010,19,롯데ON,8005,스포츠/자동차,자전거/보드/기타레저,89
1502,1520633112,[마이핫]마이핫보온대160g(50개입) 사은품 2021년최신 군용핫팩,38900,38900,0,샤론아이엔씨,8184,스포츠/자동차,등산/아웃도어,68
1503,1520750160,[올곧은]프리미엄 캡형 70매 10팩_Z509 2/18 출고예정,65300,19600,69,메디앙스-직영,3191,유아동/출산,물티슈,91
1504,1520752413,[밀로앤개비][밀로앤개비] 미니동물 아기베개 2개세트(커버2개+솜2개)/국민애착베개/어린이집낮잠베개인형/50x30 ,48600,45210,6,신세계몰,7186,가구/침구,침구,86
